0;873
1;884
2;788
3;2013
4;1093
5;942
6;4572
7;318
8;50
9;476
10;111
11;2798
12;328
13;263
14;874
15;475
16;1796
17;2460
18;324
19;3836
20;105
21;16
22;134
23;79
24;1321
25;179
